epsilon_over_mass_per_kg,floquet_growth_per_tau,stable,mode_analysis_success,worst_b1_over_b0,worst_b2_over_b1,worst_b2_over_b0,max_abs_beta,pseudopotential_valid,classification,classification_label
1.0000000000000000e+08,0.0000000000000000e+00,True,True,1.3749676601094372e-16,0.0000000000000000e+00,5.7468029468403125e-17,5.4073112249189657e-10,True,2,Stable; pseudopotential valid
1.0579658153681195e+08,4.3918046109855950e-10,True,True,2.1959461418079834e-10,5.0003722801112849e-01,1.0980548216113967e-10,2.1906595623416699e-10,False,1,Stable; pseudopotential not valid
1.1192916664875297e+08,2.0398741887404562e-10,True,True,1.0199574866292423e-10,5.0003886180560508e-01,5.1001714120759534e-11,2.2532634632986713e-10,False,1,Stable; pseudopotential not valid
1.1841723205702157e+08,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,6.6966512003055821e-17,2.3176429300671200e-10,True,2,Stable; pseudopotential valid
1.2528138346684265e+08,1.5735235918607418e-10,True,True,7.8676616849635404e-11,5.0003841230392199e-01,3.9341330574935687e-11,2.3838697672021903e-10,False,1,Stable; pseudopotential not valid
1.3254342100994422e+08,1.8561773658803410e-10,True,True,9.2809669094988740e-11,5.0003649965197039e-01,4.6408222068115822e-11,2.4519869922402475e-10,False,1,Stable; pseudopotential not valid
1.4022640848046556e+08,3.7749529942653635e-10,True,True,1.8875191309906404e-10,5.0003811519195052e-01,9.4383150864930820e-11,2.5220516680041870e-10,False,1,Stable; pseudopotential not valid
1.4835474658417812e+08,2.8504010888225690e-10,True,True,1.4252493720140278e-10,5.0003813356828108e-01,7.1267903585125917e-11,2.5941184175176264e-10,False,1,Stable; pseudopotential not valid
1.5695425043366075e+08,5.2685181504153838e-11,True,True,2.6344034153981676e-11,5.0003905885886435e-01,1.3173046044902776e-11,2.6682444493407532e-10,False,1,Stable; pseudopotential not valid
1.6605223153553990e+08,4.9733252126601299e-10,True,True,2.4867343818280021e-10,5.0003782908927308e-01,1.2434612618109296e-10,2.7444886067503377e-10,False,1,Stable; pseudopotential not valid
1.7567758453019324e+08,0.0000000000000000e+00,True,True,1.1743512355366589e-16,0.0000000000000000e+00,7.6158451114723097e-17,6.8166692086738502e-10,True,2,Stable; pseudopotential valid
1.8586087895938760e+08,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,9.6254786542092106e-17,7.2144750987685710e-10,True,2,Stable; pseudopotential valid
1.9663445635330305e+08,5.4775491473337350e-10,True,True,2.7388396044804574e-10,5.0003779423409023e-01,1.3695233145853763e-10,2.9865437762987910e-10,False,1,Stable; pseudopotential not valid
2.0803253294528916e+08,1.2763643681046313e-10,True,True,6.3820391580911436e-11,5.0003874450135233e-01,3.1912613605040101e-11,3.0718832263056816e-10,False,1,Stable; pseudopotential not valid
2.2009130834055802e+08,0.0000000000000000e+00,True,True,1.8291529666648008e-16,0.0000000000000000e+00,8.6054411419826476e-17,4.1353111936333453e-10,True,2,Stable; pseudopotential valid
2.3284908048395464e+08,2.1788432245304442e-10,True,True,1.0894455352936756e-10,5.0003767317682624e-01,5.4476252164262286e-11,3.2499494459386320e-10,False,1,Stable; pseudopotential not valid
2.4634636729192293e+08,2.3650731824763607e-10,True,True,1.1825586290401203e-10,5.0003863271948612e-01,5.9132499997585178e-11,3.3428135604111826e-10,False,1,Stable; pseudopotential not valid
2.6062603533497348e+08,2.5802447744095129e-10,True,True,1.2901527183806634e-10,5.0003799355337097e-01,6.4512537667649425e-11,3.4383332956281813e-10,False,1,Stable; pseudopotential not valid
2.7573343597932553e+08,0.0000000000000000e+00,True,True,1.0834644204823137e-16,0.0000000000000000e+00,8.3932434821104486e-17,6.1361045836828615e-10,True,2,Stable; pseudopotential valid
2.9171654942012030e+08,0.0000000000000000e+00,True,True,1.5459977412294958e-16,0.0000000000000000e+00,1.9105819539362645e-16,3.6376390886149992e-10,True,2,Stable; pseudopotential valid
3.0862613706363058e+08,0.0000000000000000e+00,True,True,1.1042981148086361e-16,0.0000000000000000e+00,5.4603252412124459e-17,3.7415833607899926e-10,True,2,Stable; pseudopotential valid
3.2651590274243695e+08,2.3191325439011754e-10,True,True,1.1595916995366825e-10,5.0003838634679088e-01,5.7984036225745544e-11,3.8484978044016139e-10,False,1,Stable; pseudopotential not valid
3.4544266327555990e+08,3.5150896616585715e-10,True,True,1.7575934005895205e-10,5.0003778151743972e-01,8.7886310484047647e-11,3.9584672910659437e-10,False,1,Stable; pseudopotential not valid
3.6546652891526240e+08,0.0000000000000000e+00,True,True,8.8974825037729061e-17,0.0000000000000000e+00,5.1741052251111499e-17,4.0715791175760770e-10,True,2,Stable; pseudopotential valid
3.8665109425359040e+08,4.9157465711661430e-10,True,True,2.4579313591815910e-10,5.0003759806683856e-01,1.2290580930583227e-10,4.1879230752006327e-10,False,1,Stable; pseudopotential not valid
4.0906364019497538e+08,0.0000000000000000e+00,True,True,9.5451661995186927e-17,0.0000000000000000e+00,1.1770346662308088e-16,4.3075915209621697e-10,True,2,Stable; pseudopotential valid
4.3277534763632816e+08,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,7.7288804064635102e-17,4.4306794509534642e-10,True,2,Stable; pseudopotential valid
4.5786152353328931e+08,8.9491832378480595e-10,True,True,4.4747105823296362e-10,5.0003729653188900e-01,2.2375221823507460e-10,4.5572845757476807e-10,False,1,Stable; pseudopotential not valid
4.8440184007058579e+08,0.0000000000000000e+00,True,True,1.2481242405377232e-16,0.0000000000000000e+00,6.4052054558965667e-17,4.6875073979629111e-10,True,2,Stable; pseudopotential valid
5.1248058769609261e+08,2.7967345295449460e-10,True,True,1.3984111176081659e-10,5.0003814314292405e-01,6.9925889859920831e-11,4.8214512920454027e-10,False,1,Stable; pseudopotential not valid
5.4218694282222962e+08,8.2789018374514728e-10,True,True,4.1395673088290834e-10,5.0003740117590978e-01,2.0699379190338186e-10,4.9592230435799091e-10,False,1,Stable; pseudopotential not valid
5.7361525104486811e+08,5.1540994589877872e-10,True,True,2.5770971575538894e-10,5.0003739289564264e-01,1.2886449439020180e-10,5.1009306474464981e-10,False,1,Stable; pseudopotential not valid
6.0686532677927244e+08,1.6369381978577104e-10,True,True,8.1849251432256174e-11,5.0003812581053919e-01,4.0927746285180965e-11,5.2466879668460441e-10,False,1,Stable; pseudopotential not valid
6.4204277026467061e+08,6.5640117818781314e-10,True,True,3.2820941605924171e-10,5.0003792541434855e-01,1.6411715550771797e-10,5.3966102515620075e-10,False,1,Stable; pseudopotential not valid
6.7925930294426847e+08,9.3288156571174407e-10,True,True,4.6645209247419780e-10,5.0003793995008106e-01,2.3324374340620256e-10,5.5508165131358124e-10,False,1,Stable; pseudopotential not valid
7.1863312228581333e+08,1.0890677917364419e-09,True,True,5.4454671943589003e-10,5.0003793724806955e-01,2.7229401832192575e-10,5.7094291650176114e-10,False,1,Stable; pseudopotential not valid
7.6028927716964805e+08,7.6580957318400844e-10,True,True,3.8291580979057271e-10,5.0003790431115003e-01,1.9147241905528492e-10,5.8725741182785609e-10,False,1,Stable; pseudopotential not valid
8.0436006503642488e+08,3.1271058119004381e-10,True,True,1.5635815407217849e-10,5.0003835297621468e-01,7.8184993885012494e-11,6.0403808818531099e-10,False,1,Stable; pseudopotential not valid
8.5098545205581129e+08,4.5894570008316208e-10,True,True,2.2947887299158202e-10,5.0003780967349720e-01,1.1474811301705333e-10,6.2129827331520420e-10,False,1,Stable; pseudopotential not valid
9.0031351765063417e+08,9.8293833668085752e-10,True,True,4.9148116226557050e-10,5.0003778944517308e-01,2.4575915393322026e-10,6.3905164848036818e-10,False,1,Stable; pseudopotential not valid
9.5250092478819287e+08,6.5420376830241033e-10,True,True,3.2710966473911409e-10,5.0003772853444695e-01,1.6356717373781106e-10,6.5731604655421945e-10,False,1,Stable; pseudopotential not valid
1.0077134175324283e+09,0.0000000000000000e+00,True,True,3.4780488752030907e-15,0.0000000000000000e+00,1.7699645170949235e-15,6.7609479834725102e-10,True,2,Stable; pseudopotential valid
1.0661263474370854e+09,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,5.4672783043313004e-17,5.7872628704432190e-09,True,2,Stable; pseudopotential valid
1.1279252304517109e+09,6.1164943100789476e-10,True,True,3.0583163004576427e-10,5.0003780887300875e-01,1.5292737554642484e-10,7.1528492318499301e-10,False,1,Stable; pseudopotential not valid
1.1933063361091185e+09,1.8373861493075160e-09,True,True,9.1871519232143491e-10,5.0003765017792490e-01,4.5939218595117066e-10,7.3572421004947580e-10,False,1,Stable; pseudopotential not valid
1.2624773108656266e+09,1.6918359104854374e-09,True,True,8.4593839468434360e-10,5.0003742055600764e-01,4.2300085282724910e-10,7.5674727354539282e-10,False,1,Stable; pseudopotential not valid
1.3356578375737035e+09,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,1.0356510673059186e-16,1.8661883345375554e-09,True,2,Stable; pseudopotential valid
1.4130803331814766e+09,1.8400887726232328e-09,True,True,9.2006843796236556e-10,5.0003756036092661e-01,4.6006877708378989e-10,8.0061274628404985e-10,False,1,Stable; pseudopotential not valid
1.4949906868749948e+09,0.0000000000000000e+00,True,True,9.3258630285610257e-17,0.0000000000000000e+00,7.5154646274736422e-17,8.2348997714153794e-10,True,2,Stable; pseudopotential valid
1.5816490410074489e+09,6.9039211939166942e-10,True,True,3.4520498224084025e-10,5.0003772161723725e-01,1.7261551281062861e-10,8.4702140470023242e-10,False,1,Stable; pseudopotential not valid
1.6733306172956498e+09,5.7359176190827214e-10,True,True,2.8680410736999293e-10,5.0003761935318303e-01,1.4341284307000597e-10,8.7122424502445198e-10,False,1,Stable; pseudopotential not valid
1.7703265909076235e+09,0.0000000000000000e+00,True,True,2.2549376201332834e-16,0.0000000000000000e+00,1.7953498163916973e-16,8.9611917499943354e-10,True,2,Stable; pseudopotential valid
1.8729450152174470e+09,5.8424775093568130e-10,True,True,2.9213036916519438e-10,5.0003775490772961e-01,1.4607621393773005e-10,9.2172564614491694e-10,False,1,Stable; pseudopotential not valid
1.9815118001641812e+09,7.6942134039257557e-10,True,True,3.8472084399524649e-10,5.0003816197170792e-01,1.9237500311152385e-10,9.4806317319304950e-10,False,1,Stable; pseudopotential not valid
2.0963717473222482e+09,9.0264480991117220e-10,True,True,4.5133348035718137e-10,5.0003798126906018e-01,2.2568388239694399e-10,9.7515403719800849e-10,False,1,Stable; pseudopotential not valid
2.2178896449704623e+09,1.9960936359080893e-09,True,True,9.9807181319743651e-10,5.0003758565223622e-01,4.9907341977879582e-10,1.0030187247565137e-09,False,1,Stable; pseudopotential not valid
2.3464514266376843e+09,1.6831789354413390e-09,True,True,8.4161007254770311e-10,5.0003752591899042e-01,4.2083661846525546e-10,1.0316796360737026e-09,False,1,Stable; pseudopotential not valid
2.4824653968044248e+09,1.2700311039871532e-09,True,True,6.3503245695679397e-10,5.0003756113618703e-01,3.1754008101899590e-10,1.0611595229665460e-09,False,1,Stable; pseudopotential not valid
2.6263635276533356e+09,0.0000000000000000e+00,True,True,1.3149926159053351e-16,0.0000000000000000e+00,7.8009596042747451e-17,1.0914817873767776e-09,True,2,Stable; pseudopotential valid
2.7786028309868402e+09,0.0000000000000000e+00,True,True,1.6410511229592172e-16,0.0000000000000000e+00,7.1512664005676972e-17,1.1226704999509428e-09,True,2,Stable; pseudopotential valid
2.9396668096691570e+09,1.4562768226838214e-09,True,True,7.2815734493385342e-10,5.0003771182240575e-01,3.6410613260740230e-10,1.1547504191421804e-09,False,1,Stable; pseudopotential not valid
3.1100669932022285e+09,0.0000000000000000e+00,True,True,1.2384425672755966e-16,0.0000000000000000e+00,6.3625460042624104e-17,2.2449897623958694e-09,True,2,Stable; pseudopotential valid
3.2903445623126712e+09,1.0436031056180926e-09,True,True,5.2181526583016277e-10,5.0003788659819948e-01,2.6092729637742037e-10,1.2216871393967343e-09,False,1,Stable; pseudopotential not valid
3.4810720677091832e+09,0.0000000000000000e+00,True,True,1.8508154057919946e-16,0.0000000000000000e+00,8.3620327708682090e-17,1.2565957348064806e-09,True,2,Stable; pseudopotential valid
3.6828552484691162e+09,1.3996071132035841e-09,True,True,6.9982107032010316e-10,5.0003762410497687e-01,3.4993686530146631e-10,1.2925025210188155e-09,False,1,Stable; pseudopotential not valid
3.8963349558293867e+09,1.3428077784407863e-09,True,True,6.7141931790833508e-10,5.0003763636691823e-01,3.3573492873797233e-10,1.3294353311626305e-09,False,1,Stable; pseudopotential not valid
4.1221891884913425e+09,1.2824387304657667e-09,True,True,6.4123552917740889e-10,5.0003772328015916e-01,3.2064195341640559e-10,1.3674240635360380e-09,False,1,Stable; pseudopotential not valid
4.3611352459038897e+09,1.6093895724600700e-09,True,True,8.0471485671051895e-10,5.0003769711241008e-01,4.0238776378167097e-10,1.4064971341126645e-09,False,1,Stable; pseudopotential not valid
4.6139320063633337e+09,1.0358691275219227e-09,True,True,5.1794638516387170e-10,5.0003786911009018e-01,2.5899280675061645e-10,1.4466873006904748e-09,False,1,Stable; pseudopotential not valid
4.8813823371652479e+09,0.0000000000000000e+00,True,True,1.6165326724065323e-16,0.0000000000000000e+00,8.9944914956587176e-17,1.4880258873044094e-09,True,2,Stable; pseudopotential valid
5.1643356444625683e+09,3.2862118428704945e-09,True,True,1.6431483483332720e-09,5.0003767769723484e-01,8.2163608421261639e-10,1.5305457096577151e-09,False,1,Stable; pseudopotential not valid
5.4636905709284830e+09,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,4.4314036632986626e-17,1.5742805211508948e-09,True,2,Stable; pseudopotential valid
5.7803978497914591e+09,0.0000000000000000e+00,True,True,2.5361987613519046e-16,0.0000000000000000e+00,1.3737962136815504e-16,2.5587065836598348e-09,True,2,Stable; pseudopotential valid
6.1154633243067198e+09,3.0578853375250148e-09,True,True,1.5289813621522268e-09,5.0003770742456255e-01,7.6454833502548434e-10,1.6655349751775498e-09,False,1,Stable; pseudopotential not valid
6.4699511422539892e+09,1.2763164454445283e-09,True,True,6.3817485544546426e-10,5.0003774644817711e-01,3.1911151655684110e-10,1.7131268801109475e-09,False,1,Stable; pseudopotential not valid
6.8449871356066380e+09,0.0000000000000000e+00,True,True,1.3266592288231729e-16,0.0000000000000000e+00,7.4086947336988926e-17,1.7620790680378417e-09,True,2,Stable; pseudopotential valid
7.2417623961063652e+09,0.0000000000000000e+00,True,True,1.7978193512913954e-16,0.0000000000000000e+00,6.4492198178605810e-17,2.1519228691105764e-09,True,2,Stable; pseudopotential valid
7.6615370580988255e+09,1.6159252589024012e-09,True,True,8.0798366675789800e-10,5.0003757455826048e-01,4.0402212632874558e-10,1.8642194498501747e-09,False,1,Stable; pseudopotential not valid
8.1056443006445866e+09,1.8456898000638552e-09,True,True,9.2286834743334855e-10,5.0003770355641342e-01,4.6146896913547391e-10,1.9174888396515874e-09,False,1,Stable; pseudopotential not valid
8.5754945816154003e+09,0.0000000000000000e+00,True,True,3.0981990929510737e-15,0.0000000000000000e+00,1.5823914713684185e-15,1.9722804165468418e-09,True,2,Stable; pseudopotential valid
9.0725801172236271e+09,0.0000000000000000e+00,True,True,1.3751960253586382e-16,0.0000000000000000e+00,5.7856524706816642e-17,2.2722659848782802e-09,True,2,Stable; pseudopotential valid
9.5984796212110825e+09,2.6561766907272206e-09,True,True,1.3281215265664553e-09,5.0003768704812890e-01,6.6411081626312031e-10,2.0866052590265657e-09,False,1,Stable; pseudopotential not valid
1.0154863318748821e+10,1.0235615824873527e-09,True,True,5.1179338589488900e-10,5.0003775443925169e-01,2.5591601541974165e-10,2.1462292788048473e-09,False,1,Stable; pseudopotential not valid
1.0743498250971903e+10,0.0000000000000000e+00,True,True,3.0989158209551749e-16,0.0000000000000000e+00,2.0708783507738935e-16,2.2075570342174440e-09,True,2,Stable; pseudopotential valid
1.1366253886995455e+10,4.1458178021506772e-09,True,True,2.0729612025873310e-09,5.0003773156855658e-01,1.0365587456209505e-09,2.2706370901527360e-09,False,1,Stable; pseudopotential not valid
1.2025108061236155e+10,2.6853931244280172e-09,True,True,1.3427308213791133e-09,5.0003747146058364e-01,6.7141572477460448e-10,2.3355198776774891e-09,False,1,Stable; pseudopotential not valid
1.2722153254895452e+10,0.0000000000000000e+00,True,True,1.2153619421532979e-16,0.0000000000000000e+00,9.6108961091733967e-17,2.4022565461378152e-09,True,2,Stable; pseudopotential valid
1.3459603241553642e+10,2.7546646859714436e-09,True,True,1.3773677565797063e-09,5.0003761832727045e-01,6.8873569256089190e-10,2.4709001916955214e-09,False,1,Stable; pseudopotential not valid
1.4239800117981684e+10,0.0000000000000000e+00,True,True,8.4318735623907133e-17,0.0000000000000000e+00,1.1525736361660597e-16,2.5415053055580846e-09,True,2,Stable; pseudopotential valid
1.5065221742499535e+10,2.3669128073827203e-09,True,True,1.1834865099800145e-09,5.0003760509993489e-01,5.9178776011848662e-10,2.6141279360003798e-09,False,1,Stable; pseudopotential not valid
1.5938489604505041e+10,1.8410157982890299e-09,True,True,9.2053200010193351e-10,5.0003764539476425e-01,4.6030065384150375e-10,2.6888257328572050e-09,False,1,Stable; pseudopotential not valid
